q,vector,epsilon,dim,dim_over_q,predicted_dim
29,B:hermite0,0.05061562152584237,9,0.3103448275862069,9
29,B:hermite1,0.17006558654817092,9,0.3103448275862069,9
29,B:hermite2,0.3722413360796493,9,0.3103448275862069,9
29,B:hermite3,0.6032917145619046,9,0.3103448275862069,9
29,B:hermite4,0.756667877208242,9,0.3103448275862069,9
29,B:hermite5,0.7706033068803605,9,0.3103448275862069,9
29,B:hermite6,0.7463451775571478,9,0.3103448275862069,9
29,T:m=0,7.085955875175866e-16,9,0.3103448275862069,9
29,T:m=1,3.1699300419123864e-15,9,0.3103448275862069,9
29,T:m=2,2.010357536296879e-15,9,0.3103448275862069,9
29,T:m=3,2.3124584387768936e-15,9,0.3103448275862069,9
29,T:m=4,8.338576442273259e-15,9,0.3103448275862069,9
29,T:m=5,1.0,9,0.3103448275862069,9
29,T:m=6,1.0,9,0.3103448275862069,9
29,T:t1,1.3555772888556136e-15,9,0.3103448275862069,9
29,T:t2,0.034239347869895034,9,0.3103448275862069,9
61,B:hermite0,0.009995365828351888,17,0.2786885245901639,17
61,B:hermite1,0.04157156112965837,17,0.2786885245901639,17
61,B:hermite2,0.11577510767442942,17,0.2786885245901639,17
61,B:hermite3,0.2473319019787373,17,0.2786885245901639,17
61,B:hermite4,0.4257055768377791,17,0.2786885245901639,17
61,B:hermite5,0.6030090377050334,17,0.2786885245901639,17
61,B:hermite6,0.7123738066792566,17,0.2786885245901639,17
61,T:m=0,2.0008636845497837e-15,17,0.2786885245901639,17
61,T:m=1,2.8665834284286146e-15,17,0.2786885245901639,17
61,T:m=2,1.9650044822556047e-15,17,0.2786885245901639,17
61,T:m=3,2.2688845698497925e-15,17,0.2786885245901639,17
61,T:m=4,2.1873856449744766e-15,17,0.2786885245901639,17
61,T:m=5,2.5562612603294705e-15,17,0.2786885245901639,17
61,T:m=6,3.324246949673853e-15,17,0.2786885245901639,17
61,T:t1,1.7311648514700244e-15,17,0.2786885245901639,17
61,T:t2,1.8713784261760093e-15,17,0.2786885245901639,17
101,B:hermite0,0.0067498388334356115,23,0.22772277227722773,23
101,B:hermite1,0.029192744648054197,23,0.22772277227722773,23
101,B:hermite2,0.08491026688462283,23,0.22772277227722773,23
101,B:hermite3,0.190493196478376,23,0.22772277227722773,23
101,B:hermite4,0.3467234537194957,23,0.22772277227722773,23
101,B:hermite5,0.5236540003312193,23,0.22772277227722773,23
101,B:hermite6,0.6638925578205471,23,0.22772277227722773,23
101,T:m=0,1.5047166522288306e-15,23,0.22772277227722773,23
101,T:m=1,2.2872197631580415e-15,23,0.22772277227722773,23
101,T:m=2,1.9889200908949603e-15,23,0.22772277227722773,23
101,T:m=3,2.6016306125467052e-15,23,0.22772277227722773,23
101,T:m=4,2.3505826105560597e-15,23,0.22772277227722773,23
101,T:m=5,2.166842869722727e-15,23,0.22772277227722773,23
101,T:m=6,2.5798644255362046e-15,23,0.22772277227722773,23
101,T:t1,1.6427703944905763e-15,23,0.22772277227722773,23
101,T:t2,1.828147751373491e-15,23,0.22772277227722773,23
151,B:hermite0,0.009648011667829434,27,0.17880794701986755,27
151,B:hermite1,0.04010675499425702,27,0.17880794701986755,27
151,B:hermite2,0.11174402313058125,27,0.17880794701986755,27
151,B:hermite3,0.23913861082066226,27,0.17880794701986755,27
151,B:hermite4,0.41311185989118543,27,0.17880794701986755,27
151,B:hermite5,0.588940890612256,27,0.17880794701986755,27
151,B:hermite6,0.702746500096188,27,0.17880794701986755,27
151,T:m=0,2.0261252945731467e-15,27,0.17880794701986755,27
151,T:m=1,3.8441075758791276e-15,27,0.17880794701986755,27
151,T:m=2,3.778588331276796e-15,27,0.17880794701986755,27
151,T:m=3,3.3744239659547234e-15,27,0.17880794701986755,27
151,T:m=4,3.2397681467707325e-15,27,0.17880794701986755,27
151,T:m=5,3.2329663263784504e-15,27,0.17880794701986755,27
151,T:m=6,3.3635386505597805e-15,27,0.17880794701986755,27
151,T:t1,2.018584076040772e-15,27,0.17880794701986755,27
151,T:t2,2.4648528580870155e-15,27,0.17880794701986755,27
211,B:hermite0,0.019725421116718062,29,0.13744075829383887,29
211,B:hermite1,0.07519570629628954,29,0.13744075829383887,29
211,B:hermite2,0.1904610517659042,29,0.13744075829383887,29
211,B:hermite3,0.3665589842024566,29,0.13744075829383887,29
211,B:hermite4,0.5622482258011868,29,0.13744075829383887,29
211,B:hermite5,0.7036269854166395,29,0.13744075829383887,29
211,B:hermite6,0.7420831520340564,29,0.13744075829383887,29
211,T:m=0,1.002336188890268e-15,29,0.13744075829383887,29
211,T:m=1,5.173585618238845e-15,29,0.13744075829383887,29
211,T:m=2,5.228266630155031e-15,29,0.13744075829383887,29
211,T:m=3,5.117616131720706e-15,29,0.13744075829383887,29
211,T:m=4,4.906495712461872e-15,29,0.13744075829383887,29
211,T:m=5,5.078307228185079e-15,29,0.13744075829383887,29
211,T:m=6,5.351298257129069e-15,29,0.13744075829383887,29
211,T:t1,2.167717928430306e-15,29,0.13744075829383887,29
211,T:t2,3.219876871778765e-15,29,0.13744075829383887,29
