q,index,sigma
151,48,0.03746261092379078
151,49,0.03746261092379078
151,50,0.03746261092379078
151,51,0.037462610923790766
151,52,0.037462610923790766
151,53,0.037462610923790766
151,54,0.03746261092379076
151,55,0.03746261092379075
151,56,0.03746261092379075
151,57,0.037462610923790746
151,58,0.037462610923790746
151,59,0.03746261092379074
151,60,0.03746261092379073
151,61,0.03746261092379073
151,62,0.03746261092379073
151,63,0.037462610923790725
151,64,0.03746261092379072
151,65,0.03746261092379072
151,66,0.03746261092379072
151,67,0.03746261092379071
151,68,0.03746261092379071
151,69,0.037462610923790704
151,70,0.037462610923790704
151,71,0.0374626109237907
151,72,0.0374626109237907
151,73,0.03746261092379069
151,74,0.03746261092379069
151,75,0.03746261092379069
151,76,0.03746261092379069
151,77,0.03746261092379069
151,78,0.03746261092379069
151,79,0.037462610923790676
151,80,0.03746261092379067
151,81,0.03746261092379067
151,82,0.03746261092379066
151,83,0.037462610923790655
151,84,0.037462610923790655
151,85,0.037462610923790655
151,86,0.037462610923790655
151,87,0.03746261092379064
151,88,0.03746261092379064
151,89,0.03746261092379064
151,90,0.03746261092379064
151,91,0.03746261092379064
151,92,0.03746261092379063
151,93,0.03746261092379063
151,94,0.03746261092379063
151,95,0.03746261092379063
151,96,0.03746261092379062
151,97,0.037462610923790614
151,98,0.037462610923790614
151,99,0.03746261092379061
151,100,0.03746261092379061
151,101,0.03746261092379059
151,102,0.03746261092379059
151,103,0.03746261092379059
151,104,0.037462610923790586
151,105,0.037462610923790586
151,106,0.03746261092379058
151,107,0.03746261092379058
151,108,0.03746261092379057
151,109,0.03746261092379057
151,110,0.037462610923790565
151,111,0.037462610923790565
151,112,0.037462610923790565
151,113,0.037462610923790565
151,114,0.03746261092379055
151,115,0.03746261092379055
151,116,0.03746261092379055
151,117,0.03746261092379055
151,118,0.037462610923790544
151,119,0.03746261092379054
151,120,0.03746261092379054
151,121,0.03746261092379052
151,122,0.03746261092379052
151,123,0.03746261092379052
151,124,0.03746261092379051
151,125,0.0374626109237905
151,126,0.0374626109237905
151,127,0.0374626109237905
151,128,0.03746261092379049
151,129,0.03746261092379048
151,130,0.03746261092379048
