q,rank,termination,eps_hermite0,eps_fourier1,n_vecs
29,29,full rank,1.054249718392275e-15,8.866300432684191e-16,3200
61,61,full rank,9.575977328379183e-16,1.1623184985046203e-15,960
101,101,full rank,1.1052097346578173e-15,1.1832170155732118e-15,1280
151,151,full rank,1.535760735929564e-15,1.4624572433282144e-15,10880
211,211,full rank,2.045798602032846e-15,1.996968154614287e-15,379520
