q,aY+,aY-,aXc+,aXc-,n_vecs,n_skipped,rank,aY+/h2,aXc+/h2
29,2.0000091541640037,2.0000091541640037,2.000000000000001,2.000000000000001,19136,0,29,9.23102895031301,9.230986699329934
61,1.8716827426738065,1.8716827426738065,1.9999999999999991,1.9999999999999991,68416,0,61,18.17114118417627,19.416903057211226
101,1.520877388880796,1.520877388880796,1.9999999999999996,1.9999999999999996,275776,0,101,24.447570581984422,32.14929850456285
151,1.7973265629371602,1.7973265629371602,2.0,2.0,567744,0,77,43.19406443311415,48.06479281375239
211,2.000035282689142,2.000035282689142,2.0,2.0,780480,0,157,67.16457083721454,67.16338598477984
